MEP_name,MEP_id,national_party,national_party_id,EU_parliament_group,EU_parliament_group_id,EU_electoral_district,EU_electoral_district_id,elected_in_country,elected_in_country_id,start_date,end_date,parliamentary_term,parliamentary_term_id
Heinrich Aigner,http://www.wikidata.org/entity/Q90026,Christian Social Union of Bavaria,http://www.wikidata.org/entity/Q49763,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1984-07-24,1988-03-24,Second European Parliament,http://www.wikidata.org/entity/Q17315703
Alexandra Thein,http://www.wikidata.org/entity/Q96439,Free Democratic Party,http://www.wikidata.org/entity/Q13124,Group of the Alliance of Liberals and Democrats for Europe,http://www.wikidata.org/entity/Q839097,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2009-07-14,2014-06-30,Seventh European Parliament,http://www.wikidata.org/entity/Q4644021
Siegbert Alber,http://www.wikidata.org/entity/Q98585,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1984-07-24,1989-07-24,Second European Parliament,http://www.wikidata.org/entity/Q17315703
Siegbert Alber,http://www.wikidata.org/entity/Q98585,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1994-07-19,1997-10-06,Fourth European Parliament,http://www.wikidata.org/entity/Q17315706
Siegbert Alber,http://www.wikidata.org/entity/Q98585,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1979-07-17,1984-07-23,First European Parliament,http://www.wikidata.org/entity/Q17315702
Siegbert Alber,http://www.wikidata.org/entity/Q98585,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1989-07-25,1994-07-18,Third European Parliament,http://www.wikidata.org/entity/Q17315704
Casimir Sayn-Wittgenstein,http://www.wikidata.org/entity/Q113385,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1979-07-17,1983-12-31,First European Parliament,http://www.wikidata.org/entity/Q17315702
Rudi Arndt,http://www.wikidata.org/entity/Q117166,,,,,,,,,1979-01-01,1989-01-01,,
Rudi Arndt,http://www.wikidata.org/entity/Q117166,Social Democratic Party of Germany,http://www.wikidata.org/entity/Q49768,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1984-07-24,1989-07-24,Second European Parliament,http://www.wikidata.org/entity/Q17315703
Rudi Arndt,http://www.wikidata.org/entity/Q117166,Social Democratic Party of Germany,http://www.wikidata.org/entity/Q49768,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1979-07-17,1984-07-23,First European Parliament,http://www.wikidata.org/entity/Q17315702
Ombretta Colli,http://www.wikidata.org/entity/Q122345,Forza Italia,http://www.wikidata.org/entity/Q14924303,European People's Party group,http://www.wikidata.org/entity/Q635616,Italy,http://www.wikidata.org/entity/Q38,,,1994-07-19,1999-07-19,Fourth European Parliament,http://www.wikidata.org/entity/Q17315706
Mogens Camre,http://www.wikidata.org/entity/Q131991,Danish People's Party,http://www.wikidata.org/entity/Q507170,Union for Europe of the Nations,http://www.wikidata.org/entity/Q835545,Denmark,http://www.wikidata.org/entity/Q5257930,Denmark,http://www.wikidata.org/entity/Q35,1999-07-20,2004-07-19,Fifth European Parliament,http://www.wikidata.org/entity/Q16836722
Mogens Camre,http://www.wikidata.org/entity/Q131991,Danish People's Party,http://www.wikidata.org/entity/Q507170,Union for Europe of the Nations,http://www.wikidata.org/entity/Q835545,Denmark,http://www.wikidata.org/entity/Q5257930,Denmark,http://www.wikidata.org/entity/Q35,2004-07-20,2009-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Eva-Britt Svensson,http://www.wikidata.org/entity/Q155382,Left Party,http://www.wikidata.org/entity/Q110837,European United Left–Nordic Green Left,http://www.wikidata.org/entity/Q753711,Sweden,http://www.wikidata.org/entity/Q7654287,Sweden,http://www.wikidata.org/entity/Q34,2004-07-20,2009-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
